id,follower_id,followed_id,created_at,updated_at
236,117,6,2012-10-21 05:03:05.703489,2012-10-21 05:03:05.703489
237,117,8,2012-10-21 05:03:13.76271,2012-10-21 05:03:13.76271
238,117,9,2012-10-21 05:03:16.379594,2012-10-21 05:03:16.379594
239,118,5,2012-10-21 05:31:04.53056,2012-10-21 05:31:04.53056
241,119,5,2012-10-21 05:41:21.114655,2012-10-21 05:41:21.114655
242,5,119,2012-10-21 09:19:44.803272,2012-10-21 09:19:44.803272
243,5,117,2012-10-21 09:19:54.107945,2012-10-21 09:19:54.107945
244,5,118,2012-10-21 09:21:26.177226,2012-10-21 09:21:26.177226
245,5,112,2012-10-21 09:21:54.813257,2012-10-21 09:21:54.813257
246,5,17,2012-10-21 09:23:17.609647,2012-10-21 09:23:17.609647
247,5,115,2012-10-21 09:23:46.870831,2012-10-21 09:23:46.870831
248,5,113,2012-10-21 09:23:48.145035,2012-10-21 09:23:48.145035
249,5,120,2012-10-21 09:23:54.298792,2012-10-21 09:23:54.298792
250,121,5,2012-10-21 10:37:30.114329,2012-10-21 10:37:30.114329
251,121,6,2012-10-21 10:37:46.461723,2012-10-21 10:37:46.461723
252,121,8,2012-10-21 10:38:04.357397,2012-10-21 10:38:04.357397
253,5,121,2012-10-21 16:24:29.925445,2012-10-21 16:24:29.925445
254,115,5,2012-10-21 16:36:29.558062,2012-10-21 16:36:29.558062
255,5,124,2012-10-21 19:27:55.942663,2012-10-21 19:27:55.942663
256,124,5,2012-10-21 19:28:39.150206,2012-10-21 19:28:39.150206
257,124,6,2012-10-21 19:31:14.327334,2012-10-21 19:31:14.327334
258,113,9,2012-10-22 01:15:59.013808,2012-10-22 01:15:59.013808
259,113,5,2012-10-22 01:16:46.068019,2012-10-22 01:16:46.068019
263,9,113,2012-10-22 01:21:31.940903,2012-10-22 01:21:31.940903
264,112,5,2012-10-22 01:28:59.253591,2012-10-22 01:28:59.253591
265,129,79,2012-10-22 03:29:51.030769,2012-10-22 03:29:51.030769
269,129,5,2012-10-22 03:37:48.621456,2012-10-22 03:37:48.621456
270,129,6,2012-10-22 03:37:49.801385,2012-10-22 03:37:49.801385
271,129,50,2012-10-22 03:37:50.993194,2012-10-22 03:37:50.993194
272,9,129,2012-10-22 04:05:43.593049,2012-10-22 04:05:43.593049
275,129,9,2012-10-22 04:06:05.65693,2012-10-22 04:06:05.65693
276,129,8,2012-10-22 04:06:21.71757,2012-10-22 04:06:21.71757
277,129,1,2012-10-22 04:06:22.729152,2012-10-22 04:06:22.729152
278,129,26,2012-10-22 04:06:23.305192,2012-10-22 04:06:23.305192
279,129,36,2012-10-22 04:06:24.214103,2012-10-22 04:06:24.214103
281,129,42,2012-10-22 04:06:31.977401,2012-10-22 04:06:31.977401
282,129,46,2012-10-22 04:06:35.083714,2012-10-22 04:06:35.083714
283,129,113,2012-10-22 04:06:36.791918,2012-10-22 04:06:36.791918
284,131,5,2012-10-22 04:50:26.513712,2012-10-22 04:50:26.513712
285,131,73,2012-10-22 04:50:32.147395,2012-10-22 04:50:32.147395
286,131,9,2012-10-22 04:50:44.432769,2012-10-22 04:50:44.432769
287,131,8,2012-10-22 04:50:50.954523,2012-10-22 04:50:50.954523
288,131,6,2012-10-22 04:50:52.187619,2012-10-22 04:50:52.187619
289,131,1,2012-10-22 04:50:52.59736,2012-10-22 04:50:52.59736
290,131,26,2012-10-22 04:50:52.655271,2012-10-22 04:50:52.655271
291,131,36,2012-10-22 04:50:53.305593,2012-10-22 04:50:53.305593
292,131,42,2012-10-22 04:50:53.927013,2012-10-22 04:50:53.927013
293,131,46,2012-10-22 04:50:54.699705,2012-10-22 04:50:54.699705
294,131,79,2012-10-22 04:50:55.868513,2012-10-22 04:50:55.868513
295,131,113,2012-10-22 04:50:56.309632,2012-10-22 04:50:56.309632
296,131,129,2012-10-22 04:50:56.722616,2012-10-22 04:50:56.722616
297,9,131,2012-10-22 04:54:14.405797,2012-10-22 04:54:14.405797
298,125,26,2012-10-22 07:02:50.79167,2012-10-22 07:02:50.79167
301,125,9,2012-10-22 07:03:41.581035,2012-10-22 07:03:41.581035
302,125,5,2012-10-22 07:03:42.298422,2012-10-22 07:03:42.298422
303,125,50,2012-10-22 07:03:42.865479,2012-10-22 07:03:42.865479
304,125,79,2012-10-22 07:03:43.506469,2012-10-22 07:03:43.506469
305,125,129,2012-10-22 07:03:44.109323,2012-10-22 07:03:44.109323
308,9,125,2012-10-22 07:04:13.96024,2012-10-22 07:04:13.96024
309,125,101,2012-10-22 07:04:29.957166,2012-10-22 07:04:29.957166
310,125,7,2012-10-22 07:06:09.486674,2012-10-22 07:06:09.486674
311,125,8,2012-10-22 07:06:11.555418,2012-10-22 07:06:11.555418
312,125,6,2012-10-22 07:06:14.241032,2012-10-22 07:06:14.241032
313,125,10,2012-10-22 07:06:15.817759,2012-10-22 07:06:15.817759
314,125,11,2012-10-22 07:06:16.540619,2012-10-22 07:06:16.540619
315,125,73,2012-10-22 07:06:30.591115,2012-10-22 07:06:30.591115
316,125,117,2012-10-22 07:06:34.567403,2012-10-22 07:06:34.567403
317,125,115,2012-10-22 07:06:41.49005,2012-10-22 07:06:41.49005
318,125,131,2012-10-22 07:06:46.885203,2012-10-22 07:06:46.885203
319,125,107,2012-10-22 07:06:50.973704,2012-10-22 07:06:50.973704
320,125,46,2012-10-22 07:06:53.732618,2012-10-22 07:06:53.732618
321,125,41,2012-10-22 07:06:59.951931,2012-10-22 07:06:59.951931
322,125,58,2012-10-22 07:07:02.311094,2012-10-22 07:07:02.311094
323,125,41,2012-10-22 07:07:04.724234,2012-10-22 07:07:04.724234
324,125,12,2012-10-22 07:07:12.395547,2012-10-22 07:07:12.395547
326,129,125,2012-10-22 11:08:31.604426,2012-10-22 11:08:31.604426
327,129,131,2012-10-22 11:08:32.112536,2012-10-22 11:08:32.112536
328,50,125,2012-10-22 11:49:05.265495,2012-10-22 11:49:05.265495
329,50,129,2012-10-22 11:49:12.308687,2012-10-22 11:49:12.308687
330,121,9,2012-10-22 15:52:20.151368,2012-10-22 15:52:20.151368
331,9,121,2012-10-22 15:56:31.769418,2012-10-22 15:56:31.769418
332,131,125,2012-10-22 21:56:30.996952,2012-10-22 21:56:30.996952
333,10,79,2012-10-23 04:13:29.937289,2012-10-23 04:13:29.937289
334,10,9,2012-10-23 04:13:33.817048,2012-10-23 04:13:33.817048
335,10,19,2012-10-23 04:13:34.378466,2012-10-23 04:13:34.378466
336,10,11,2012-10-23 04:13:34.958062,2012-10-23 04:13:34.958062
337,9,10,2012-10-23 04:16:18.11925,2012-10-23 04:16:18.11925
338,6,121,2012-10-23 08:29:50.760629,2012-10-23 08:29:50.760629
339,6,117,2012-10-23 08:29:58.398988,2012-10-23 08:29:58.398988
340,6,115,2012-10-23 08:30:22.592316,2012-10-23 08:30:22.592316
341,6,73,2012-10-23 08:30:23.284415,2012-10-23 08:30:23.284415
342,6,19,2012-10-23 08:30:24.417578,2012-10-23 08:30:24.417578
343,6,124,2012-10-23 08:33:58.954072,2012-10-23 08:33:58.954072
344,6,131,2012-10-23 08:34:22.466185,2012-10-23 08:34:22.466185
345,6,129,2012-10-23 08:34:29.59257,2012-10-23 08:34:29.59257
346,6,125,2012-10-23 08:34:45.31802,2012-10-23 08:34:45.31802
347,6,11,2012-10-23 08:57:19.394567,2012-10-23 08:57:19.394567
348,6,68,2012-10-23 08:57:22.144626,2012-10-23 08:57:22.144626
349,6,50,2012-10-23 08:57:23.168395,2012-10-23 08:57:23.168395
350,5,125,2012-10-23 09:09:53.565165,2012-10-23 09:09:53.565165
351,5,138,2012-10-23 09:15:17.604878,2012-10-23 09:15:17.604878
352,5,137,2012-10-23 09:15:23.370262,2012-10-23 09:15:23.370262
353,138,5,2012-10-23 09:15:27.135755,2012-10-23 09:15:27.135755
354,5,133,2012-10-23 09:21:36.646115,2012-10-23 09:21:36.646115
355,107,125,2012-10-23 09:31:12.262705,2012-10-23 09:31:12.262705
356,6,106,2012-10-23 09:36:37.46884,2012-10-23 09:36:37.46884
357,6,66,2012-10-23 09:38:13.555666,2012-10-23 09:38:13.555666
358,6,78,2012-10-23 09:38:14.801348,2012-10-23 09:38:14.801348
359,6,137,2012-10-23 09:38:15.320705,2012-10-23 09:38:15.320705
360,6,138,2012-10-23 09:38:18.00709,2012-10-23 09:38:18.00709
361,5,131,2012-10-23 09:38:25.555998,2012-10-23 09:38:25.555998
362,5,129,2012-10-23 09:38:51.201165,2012-10-23 09:38:51.201165
363,6,136,2012-10-23 09:39:04.111401,2012-10-23 09:39:04.111401
364,6,130,2012-10-23 09:39:04.972539,2012-10-23 09:39:04.972539
365,6,123,2012-10-23 09:39:05.734839,2012-10-23 09:39:05.734839
366,6,127,2012-10-23 09:39:06.315269,2012-10-23 09:39:06.315269
367,6,118,2012-10-23 09:39:07.418105,2012-10-23 09:39:07.418105
368,6,82,2012-10-23 09:39:07.969982,2012-10-23 09:39:07.969982
369,6,72,2012-10-23 09:39:10.668382,2012-10-23 09:39:10.668382
370,6,56,2012-10-23 09:39:11.698519,2012-10-23 09:39:11.698519
371,6,53,2012-10-23 09:39:12.360278,2012-10-23 09:39:12.360278
372,6,51,2012-10-23 09:39:17.279589,2012-10-23 09:39:17.279589
373,6,48,2012-10-23 09:39:19.656772,2012-10-23 09:39:19.656772
374,5,66,2012-10-23 09:41:04.888501,2012-10-23 09:41:04.888501
375,118,6,2012-10-23 13:09:23.958311,2012-10-23 13:09:23.958311
376,46,129,2012-10-23 14:44:30.536605,2012-10-23 14:44:30.536605
378,46,125,2012-10-23 14:44:58.849016,2012-10-23 14:44:58.849016
379,56,6,2012-10-23 15:07:33.942592,2012-10-23 15:07:33.942592
380,138,6,2012-10-23 21:57:05.17468,2012-10-23 21:57:05.17468
381,133,5,2012-10-24 05:01:30.074533,2012-10-24 05:01:30.074533
382,19,6,2012-10-24 22:32:54.610058,2012-10-24 22:32:54.610058
383,5,153,2012-10-25 02:05:16.843663,2012-10-25 02:05:16.843663
384,153,5,2012-10-25 02:05:59.434798,2012-10-25 02:05:59.434798
385,5,154,2012-10-25 02:06:09.925521,2012-10-25 02:06:09.925521
386,6,89,2012-10-25 02:16:01.152073,2012-10-25 02:16:01.152073
387,89,5,2012-10-25 02:16:48.670303,2012-10-25 02:16:48.670303
388,6,133,2012-10-25 02:17:04.251592,2012-10-25 02:17:04.251592
389,5,152,2012-10-25 04:11:26.573682,2012-10-25 04:11:26.573682
390,79,154,2012-10-25 05:03:26.348995,2012-10-25 05:03:26.348995
391,79,150,2012-10-25 05:03:27.983647,2012-10-25 05:03:27.983647
392,79,149,2012-10-25 05:03:28.626235,2012-10-25 05:03:28.626235
393,79,148,2012-10-25 05:03:30.265969,2012-10-25 05:03:30.265969
